text,href,absolute_url,domain
Cite this page,/w/index.php?title=Special:CiteThisPage&page=List_of_Hindu_temples_in_India&id=1368494211&wpFormIdentifier=titleform,https://en.wikipedia.org/w/index.php?title=Special:CiteThisPage&page=List_of_Hindu_temples_in_India&id=1368494211&wpFormIdentifier=titleform,en.wikipedia.org
Get shortened URL,/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_Hindu_temples_in_India,https://en.wikipedia.org/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_Hindu_temples_in_India,en.wikipedia.org
Switch to legacy parser,/w/index.php?title=List_of_Hindu_temples_in_India&useparsoid=0,https://en.wikipedia.org/w/index.php?title=List_of_Hindu_temples_in_India&useparsoid=0,en.wikipedia.org
Download as PDF,/w/index.php?title=Special:DownloadAsPdf&page=List_of_Hindu_temples_in_India&action=show-download-screen,https://en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=List_of_Hindu_temples_in_India&action=show-download-screen,en.wikipedia.org
Printable version,/w/index.php?title=List_of_Hindu_temples_in_India&printable=yes,https://en.wikipedia.org/w/index.php?title=List_of_Hindu_temples_in_India&printable=yes,en.wikipedia.org
Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Hindu_temples_in_India,https://commons.wikimedia.org/wiki/Category:Hindu_temples_in_India,commons.wikimedia.org
Wikidata item,https://www.wikidata.org/wiki/Special:EntityPage/Q6573227,https://www.wikidata.org/wiki/Special:EntityPage/Q6573227,www.wikidata.org
a series,https://en.wikipedia.org/wiki/Category:Hinduism_in_India,https://en.wikipedia.org/wiki/Category:Hinduism_in_India,en.wikipedia.org
Hinduism in India,https://en.wikipedia.org/wiki/Hinduism_in_India,https://en.wikipedia.org/wiki/Hinduism_in_India,en.wikipedia.org
History,https://en.wikipedia.org/wiki/History_of_Hinduism,https://en.wikipedia.org/wiki/History_of_Hinduism,en.wikipedia.org
Indus Valley Civilisation,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation,en.wikipedia.org
Historical Vedic religion,https://en.wikipedia.org/wiki/Historical_Vedic_religion,https://en.wikipedia.org/wiki/Historical_Vedic_religion,en.wikipedia.org
Vedic period,https://en.wikipedia.org/wiki/Vedic_period,https://en.wikipedia.org/wiki/Vedic_period,en.wikipedia.org
Indo-Aryan migrations,https://en.wikipedia.org/wiki/Indo-Aryan_migrations,https://en.wikipedia.org/wiki/Indo-Aryan_migrations,en.wikipedia.org
Gupta Empire,https://en.wikipedia.org/wiki/Gupta_Empire,https://en.wikipedia.org/wiki/Gupta_Empire,en.wikipedia.org
Sanskritisation,https://en.wikipedia.org/wiki/Sanskritisation,https://en.wikipedia.org/wiki/Sanskritisation,en.wikipedia.org
Greater India,https://en.wikipedia.org/wiki/Greater_India,https://en.wikipedia.org/wiki/Greater_India,en.wikipedia.org
Maratha Empire,https://en.wikipedia.org/wiki/Maratha_Empire,https://en.wikipedia.org/wiki/Maratha_Empire,en.wikipedia.org
Late-Classical Hinduism,https://en.wikipedia.org/wiki/History_of_India#Classical_and_early_medieval_periods_(c._200_BCE_–_c._1200_CE),https://en.wikipedia.org/wiki/History_of_India#Classical_and_early_medieval_periods_(c._200_BCE_–_c._1200_CE),en.wikipedia.org
Bhakti movement,https://en.wikipedia.org/wiki/Bhakti_movement,https://en.wikipedia.org/wiki/Bhakti_movement,en.wikipedia.org
Bengal Renaissance,https://en.wikipedia.org/wiki/Bengal_Renaissance,https://en.wikipedia.org/wiki/Bengal_Renaissance,en.wikipedia.org
Partition of India,https://en.wikipedia.org/wiki/Partition_of_India,https://en.wikipedia.org/wiki/Partition_of_India,en.wikipedia.org
Akhand Bharat,https://en.wikipedia.org/wiki/Akhand_Bharat,https://en.wikipedia.org/wiki/Akhand_Bharat,en.wikipedia.org
Architecture,https://en.wikipedia.org/wiki/Hindu_architecture,https://en.wikipedia.org/wiki/Hindu_architecture,en.wikipedia.org
Ancient India,https://en.wikipedia.org/wiki/Ancient_Indian_architecture,https://en.wikipedia.org/wiki/Ancient_Indian_architecture,en.wikipedia.org
Rajput,https://en.wikipedia.org/wiki/Rajput_architecture,https://en.wikipedia.org/wiki/Rajput_architecture,en.wikipedia.org
Rock-cut,https://en.wikipedia.org/wiki/Indian_rock-cut_architecture,https://en.wikipedia.org/wiki/Indian_rock-cut_architecture,en.wikipedia.org
Temple,https://en.wikipedia.org/wiki/Hindu_temple_architecture,https://en.wikipedia.org/wiki/Hindu_temple_architecture,en.wikipedia.org
Dravidian,https://en.wikipedia.org/wiki/Dravidian_architecture,https://en.wikipedia.org/wiki/Dravidian_architecture,en.wikipedia.org
Māru-Gurjara,https://en.wikipedia.org/wiki/Māru-Gurjara_architecture,https://en.wikipedia.org/wiki/Māru-Gurjara_architecture,en.wikipedia.org
Indian vernacular,https://en.wikipedia.org/wiki/Indian_vernacular_architecture,https://en.wikipedia.org/wiki/Indian_vernacular_architecture,en.wikipedia.org
