page_url,image_url
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Kailasha_temple_at_ellora.JPG/250px-Kailasha_temple_at_ellora.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Konark_Sun_Temple_Front_view.jpg/250px-Konark_Sun_Temple_Front_view.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Muktesvara_deula.jpg/250px-Muktesvara_deula.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Temple-Jagannath.jpg/250px-Temple-Jagannath.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Lingaraj_temple_Bhubaneswar_11007.jpg/250px-Lingaraj_temple_Bhubaneswar_11007.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Vaitala_Mandira.jpg/250px-Vaitala_Mandira.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Rajarani_Temple_2.jpg/250px-Rajarani_Temple_2.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Ratnagiri_Jajpur_district_Odisha.jpg/250px-Ratnagiri_Jajpur_district_Odisha.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Ananta_Vasudeva_Temple.jpg/250px-Ananta_Vasudeva_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Gate_of_Nrusinghanath_Temple1.JPG/250px-Gate_of_Nrusinghanath_Temple1.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Taratarini_maa.jpg/250px-Taratarini_maa.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Brahmeswara_Temple%2C_Bhubaneswar.JPG/250px-Brahmeswara_Temple%2C_Bhubaneswar.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Many_of_the_locals_we_had_spoken_to_were_delighted_that_the_Govt_has_sanctioned_funds_for_renovation_of_this_temple_%2838049489065%29.jpg/250px-Many_of_the_locals_we_had_spoken_to_were_delighted_that_the_Govt_has_sanctioned_funds_for_renovation_of_this_temple_%2838049489065%29.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
